Aragón;0.13;3.0;0.0;
Australia;0.07;-50.0;-50.0;
Austria;0.15;2.0;-5.0;
Brazil;0.07;25.0;-75.0;
Catalonia;0.07;-60.0;-50.0;
Czechia;0.075;15.0;0.0;
France;0.07;25.0;0.0;
Germany;0.06;-40.0;-40.0;
Great Britain;0.1;0.0;0.0;
Hungary;0.3;20.0;30.0;
Indonesia;0.17;30.0;-120.0;
Italy;0.06;-50.0;-40.0;
Japan;0.1;5.0;-70.0;
Malaysia;0.12;0.0;-10.0;
Netherlands;0.06;-80.0;-30.0;
Portugal;0.1;0.0;0.0;
Qatar;0.05;0.0;0.0;
San Marino;0.07;-50.0;-40.0;
Spain;0.07;20.0;-50.0;
Thailand;0.06;-50.0;-20.0;
USA;0.1;0.0;0.0;
Valencia;0.05;-10.0;-30.0;
